Track
x: 4736, y: -15187, z: 4464
x: 4755, y: -15124, z: 4459
x: 4807, y: -15018, z: 4449
x: 4864, y: -14939, z: 4442
x: 4935, y: -14864, z: 4436
x: 5035, y: -14778, z: 4428
x: 5124, y: -14713, z: 4420
x: 5178, y: -14677, z: 4416
x: 5244, y: -14637, z: 4410
x: 5418, y: -14541, z: 4395
x: 5543, y: -14475, z: 4384
x: 5636, y: -14424, z: 4377
x: 5716, y: -14375, z: 4373
x: 5969, y: -14160, z: 4346
x: 6067, y: -14012, z: 4334
x: 6092, y: -13951, z: 4331
x: 6126, y: -13743, z: 4317
x: 6118, y: -13606, z: 4307
x: 6106, y: -13532, z: 4303
x: 6086, y: -13447, z: 4297
x: 6064, y: -13371, z: 4294
x: 6038, y: -13295, z: 4290
x: 5998, y: -13192, z: 4279
x: 5948, y: -13072, z: 4268
x: 5911, y: -12985, z: 4263
x: 5868, y: -12884, z: 4252
x: 5808, y: -12739, z: 4241
x: 5779, y: -12668, z: 4236
x: 5744, y: -12581, z: 4229
x: 5719, y: -12518, z: 4225
x: 5684, y: -12427, z: 4218
x: 5665, y: -12376, z: 4215
x: 5646, y: -12323, z: 4210
x: 5607, y: -12206, z: 4202
x: 5559, y: -12050, z: 4190
x: 5536, y: -11968, z: 4184
x: 5510, y: -11873, z: 4177
x: 5486, y: -11783, z: 4171
x: 5462, y: -11689, z: 4164
x: 5424, y: -11530, z: 4152
x: 5394, y: -11407, z: 4144
x: 5352, y: -11223, z: 4130
x: 5326, y: -11099, z: 4122
x: 5302, y: -10985, z: 4115
x: 5287, y: -10914, z: 4109
x: 5228, y: -10638, z: 4090
x: 5205, y: -10526, z: 4081
x: 5181, y: -10413, z: 4073
x: 5137, y: -10209, z: 4059
x: 5097, y: -10029, z: 4046
x: 5059, y: -9858, z: 4035
x: 5012, y: -9647, z: 4018
x: 4986, y: -9543, z: 4011
x: 4954, y: -9431, z: 4003
x: 4895, y: -9273, z: 3990
x: 4810, y: -9103, z: 3977
x: 4679, y: -8923, z: 3960
x: 4547, y: -8795, z: 3948
x: 4450, y: -8721, z: 3941
x: 4357, y: -8664, z: 3934
x: 4193, y: -8593, z: 3923
x: 4086, y: -8569, z: 3916
x: 3973, y: -8554, z: 3908
x: 3872, y: -8546, z: 3901
x: 3661, y: -8537, z: 3886
x: 3562, y: -8535, z: 3879
x: 3336, y: -8545, z: 3864
x: 3199, y: -8563, z: 3854
x: 2957, y: -8640, z: 3836
x: 2711, y: -8776, z: 3818
x: 2595, y: -8859, z: 3812
x: 2461, y: -8973, z: 3802
x: 2365, y: -9070, z: 3795
x: 2216, y: -9254, z: 3785
x: 2108, y: -9419, z: 3778
x: 1990, y: -9650, z: 3772
x: 1911, y: -9836, z: 3766
x: 1857, y: -9987, z: 3761
x: 1813, y: -10129, z: 3757
x: 1777, y: -10242, z: 3754
x: 1723, y: -10413, z: 3751
x: 1649, y: -10642, z: 3748
x: 1603, y: -10786, z: 3746
x: 1533, y: -11005, z: 3745
x: 1481, y: -11166, z: 3744
x: 1397, y: -11427, z: 3746
x: 1309, y: -11703, z: 3748
x: 1291, y: -11760, z: 3749
x: 1065, y: -12389, z: 3756
x: 1000, y: -12514, z: 3756
x: 937, y: -12608, z: 3757
x: 865, y: -12694, z: 3758
x: 795, y: -12763, z: 3759
x: 744, y: -12807, z: 3759
x: 684, y: -12851, z: 3760
x: 580, y: -12907, z: 3761
x: 469, y: -12942, z: 3762
x: 390, y: -12952, z: 3762
x: 316, y: -12956, z: 3763
x: 212, y: -12951, z: 3763
x: 97, y: -12927, z: 3764
x: 17, y: -12898, z: 3764
x: -51, y: -12864, z: 3766
x: -130, y: -12820, z: 3766
x: -204, y: -12780, z: 3766
x: -349, y: -12716, z: 3766
x: -486, y: -12678, z: 3765
x: -646, y: -12666, z: 3764
x: -807, y: -12689, z: 3763
x: -862, y: -12703, z: 3762
x: -1036, y: -12779, z: 3761
x: -1162, y: -12864, z: 3759
x: -1234, y: -12930, z: 3758
x: -1296, y: -12995, z: 3758
x: -1428, y: -13162, z: 3756
x: -1535, y: -13328, z: 3753
