Track
x: 1654, y: 9725, z: 2271
x: 1703, y: 9671, z: 2272
x: 1829, y: 9531, z: 2277
x: 1928, y: 9422, z: 2279
x: 2025, y: 9314, z: 2281
x: 2075, y: 9259, z: 2282
x: 2183, y: 9137, z: 2284
x: 2264, y: 9038, z: 2284
x: 2319, y: 8959, z: 2285
x: 2353, y: 8900, z: 2285
x: 2384, y: 8820, z: 2285
x: 2396, y: 8769, z: 2285
x: 2400, y: 8684, z: 2286
x: 2385, y: 8606, z: 2287
x: 2361, y: 8546, z: 2287
x: 2332, y: 8489, z: 2288
x: 2285, y: 8393, z: 2288
x: 2255, y: 8291, z: 2289
x: 2247, y: 8213, z: 2289
x: 2246, y: 8150, z: 2290
x: 2251, y: 8060, z: 2291
x: 2257, y: 8001, z: 2291
x: 2276, y: 7914, z: 2291
x: 2292, y: 7851, z: 2292
x: 2310, y: 7793, z: 2292
x: 2339, y: 7697, z: 2293
x: 2355, y: 7641, z: 2293
x: 2387, y: 7531, z: 2294
x: 2420, y: 7399, z: 2295
x: 2441, y: 7313, z: 2296
x: 2468, y: 7205, z: 2296
x: 2489, y: 7130, z: 2297
x: 2517, y: 7051, z: 2297
x: 2555, y: 6970, z: 2298
x: 2592, y: 6906, z: 2298
x: 2652, y: 6824, z: 2298
x: 2731, y: 6743, z: 2299
x: 2812, y: 6682, z: 2300
x: 2912, y: 6635, z: 2301
x: 2979, y: 6615, z: 2301
x: 3093, y: 6595, z: 2302
x: 3182, y: 6586, z: 2303
x: 3250, y: 6582, z: 2303
x: 3379, y: 6570, z: 2304
x: 3490, y: 6554, z: 2305
x: 3589, y: 6529, z: 2306
x: 3684, y: 6488, z: 2307
x: 3851, y: 6359, z: 2308
x: 3941, y: 6252, z: 2310
x: 3994, y: 6153, z: 2311
x: 4041, y: 5962, z: 2314
x: 4041, y: 5792, z: 2317
x: 4023, y: 5662, z: 2318
x: 3989, y: 5513, z: 2321
x: 3969, y: 5437, z: 2321
x: 3928, y: 5293, z: 2323
x: 3900, y: 5192, z: 2325
x: 3865, y: 5052, z: 2327
x: 3841, y: 4912, z: 2329
x: 3825, y: 4688, z: 2332
x: 3830, y: 4553, z: 2334
x: 3840, y: 4422, z: 2336
x: 3863, y: 4293, z: 2339
x: 3897, y: 4162, z: 2341
x: 3950, y: 4016, z: 2343
x: 3999, y: 3913, z: 2344
x: 4053, y: 3822, z: 2346
x: 4139, y: 3698, z: 2348
x: 4218, y: 3599, z: 2350
x: 4286, y: 3507, z: 2351
x: 4326, y: 3449, z: 2353
x: 4438, y: 3253, z: 2356
x: 4486, y: 3140, z: 2358
x: 4515, y: 3049, z: 2359
x: 4532, y: 2979, z: 2359
x: 4544, y: 2880, z: 2360
x: 4549, y: 2772, z: 2362
x: 4543, y: 2676, z: 2363
x: 4533, y: 2605, z: 2364
x: 4497, y: 2478, z: 2367
x: 4416, y: 2309, z: 2370
x: 4358, y: 2220, z: 2372
x: 4207, y: 2044, z: 2374
x: 4142, y: 1976, z: 2374
x: 4067, y: 1900, z: 2375
x: 3897, y: 1728, z: 2374
x: 3744, y: 1571, z: 2372
x: 3656, y: 1481, z: 2371
x: 3546, y: 1369, z: 2368
x: 3469, y: 1289, z: 2366
x: 3390, y: 1208, z: 2363
x: 3267, y: 1081, z: 2360
x: 3160, y: 970, z: 2357
x: 3026, y: 829, z: 2353
x: 2953, y: 753, z: 2351
x: 2809, y: 598, z: 2346
x: 2718, y: 499, z: 2344
x: 2591, y: 359, z: 2340
x: 2516, y: 274, z: 2338
x: 2426, y: 169, z: 2335
x: 2372, y: 105, z: 2334
x: 2288, y: 3, z: 2331
x: 2228, y: -65, z: 2330
x: 2129, y: -162, z: 2326
x: 2066, y: -212, z: 2325
x: 1953, y: -276, z: 2321
x: 1850, y: -301, z: 2319
x: 1741, y: -292, z: 2316
x: 1647, y: -253, z: 2313
x: 1532, y: -165, z: 2311
x: 1462, y: -96, z: 2310
x: 1399, y: -24, z: 2308
x: 1347, y: 38, z: 2306
x: 1288, y: 110, z: 2304
x: 1176, y: 248, z: 2300
x: 1095, y: 344, z: 2298
x: 1039, y: 410, z: 2296
x: 950, y: 510, z: 2294
x: 860, y: 610, z: 2292
x: 794, y: 682, z: 2291
x: 722, y: 758, z: 2291
x: 662, y: 818, z: 2291
x: 595, y: 881, z: 2290
x: 529, y: 937, z: 2290
x: 471, y: 980, z: 2290
x: 394, y: 1026, z: 2290
x: 318, y: 1061, z: 2290
x: 253, y: 1080, z: 2290
