Track
x: -12907, y: -1273, z: 204
x: -12948, y: -1334, z: 204
x: -13002, y: -1419, z: 203
x: -13056, y: -1508, z: 203
x: -13106, y: -1591, z: 203
x: -13151, y: -1669, z: 203
x: -13217, y: -1838, z: 203
x: -13224, y: -1901, z: 202
x: -13218, y: -2017, z: 202
x: -13188, y: -2153, z: 201
x: -13148, y: -2256, z: 200
x: -13076, y: -2380, z: 201
x: -13023, y: -2446, z: 201
x: -12943, y: -2520, z: 201
x: -12821, y: -2600, z: 200
x: -12741, y: -2640, z: 198
x: -12670, y: -2669, z: 196
x: -12517, y: -2722, z: 195
x: -12432, y: -2756, z: 196
x: -12357, y: -2807, z: 198
x: -12273, y: -2940, z: 198
x: -12244, y: -3027, z: 198
x: -12230, y: -3083, z: 197
x: -12206, y: -3206, z: 196
x: -12196, y: -3263, z: 195
x: -12178, y: -3378, z: 197
x: -12168, y: -3430, z: 198
x: -12156, y: -3497, z: 199
x: -12117, y: -3612, z: 203
x: -12073, y: -3682, z: 205
x: -11969, y: -3788, z: 208
x: -11822, y: -3911, z: 208
x: -11763, y: -3957, z: 208
x: -11666, y: -4036, z: 208
x: -11590, y: -4099, z: 208
x: -11519, y: -4159, z: 207
x: -11439, y: -4230, z: 207
x: -11362, y: -4304, z: 204
x: -11292, y: -4380, z: 203
x: -11237, y: -4448, z: 203
x: -11141, y: -4589, z: 213
x: -11064, y: -4710, z: 216
x: -10873, y: -4892, z: 222
x: -10813, y: -4906, z: 223
x: -10758, y: -4894, z: 225
x: -10703, y: -4855, z: 227
x: -10658, y: -4789, z: 229
x: -10622, y: -4706, z: 229
x: -10601, y: -4631, z: 229
x: -10582, y: -4548, z: 229
x: -10554, y: -4396, z: 230
x: -10545, y: -4340, z: 230
x: -10535, y: -4265, z: 229
x: -10514, y: -4104, z: 229
x: -10505, y: -4030, z: 229
x: -10493, y: -3940, z: 228
x: -10464, y: -3747, z: 228
x: -10453, y: -3674, z: 229
x: -10442, y: -3613, z: 228
x: -10421, y: -3504, z: 229
x: -10391, y: -3353, z: 229
x: -10380, y: -3292, z: 229
x: -10359, y: -3183, z: 229
x: -10331, y: -3041, z: 228
x: -10313, y: -2942, z: 227
x: -10292, y: -2819, z: 226
x: -10278, y: -2735, z: 228
x: -10266, y: -2670, z: 227
x: -10245, y: -2549, z: 228
x: -10206, y: -2345, z: 227
x: -10183, y: -2227, z: 228
x: -10134, y: -1974, z: 228
x: -10101, y: -1813, z: 226
x: -10078, y: -1699, z: 223
x: -10032, y: -1491, z: 218
x: -9941, y: -1154, z: 208
x: -9892, y: -997, z: 205
x: -9840, y: -841, z: 202
x: -9777, y: -657, z: 199
x: -9579, y: -143, z: 196
x: -9512, y: -12, z: 195
x: -9454, y: 60, z: 195
x: -9385, y: 108, z: 195
x: -9325, y: 125, z: 194
x: -9249, y: 125, z: 193
x: -9158, y: 99, z: 193
x: -9088, y: 63, z: 192
x: -9006, y: 9, z: 192
x: -8929, y: -50, z: 192
x: -8839, y: -124, z: 191
x: -8745, y: -204, z: 190
x: -8686, y: -255, z: 189
x: -8553, y: -375, z: 189
x: -8434, y: -489, z: 189
x: -8348, y: -568, z: 188
x: -8297, y: -613, z: 188
x: -8204, y: -692, z: 188
x: -8148, y: -739, z: 189
x: -8070, y: -804, z: 189
x: -7937, y: -915, z: 190
x: -7763, y: -1053, z: 192
x: -7578, y: -1182, z: 195
x: -7450, y: -1253, z: 195
x: -7314, y: -1316, z: 197
x: -7179, y: -1365, z: 197
x: -7050, y: -1398, z: 198
x: -6864, y: -1429, z: 199
x: -6714, y: -1443, z: 199
x: -6493, y: -1457, z: 199
x: -6390, y: -1463, z: 198
x: -6258, y: -1472, z: 197
x: -6124, y: -1481, z: 196
x: -5989, y: -1490, z: 196
x: -5825, y: -1501, z: 195
x: -5662, y: -1511, z: 194
x: -5434, y: -1527, z: 193
x: -5311, y: -1535, z: 193
x: -5227, y: -1540, z: 193
x: -5080, y: -1550, z: 192
x: -4946, y: -1558, z: 192
x: -4866, y: -1563, z: 192
x: -4796, y: -1567, z: 191
x: -4683, y: -1573, z: 192
x: -4548, y: -1580, z: 192
x: -4472, y: -1584, z: 191
x: -4401, y: -1587, z: 191
x: -4350, y: -1589, z: 191
x: -4285, y: -1592, z: 191
x: -4146, y: -1596, z: 192
x: -4083, y: -1597, z: 192
x: -3613, y: -1607, z: 192
x: -3407, y: -1613, z: 191
x: -3218, y: -1621, z: 191
x: -3157, y: -1624, z: 190
x: -2995, y: -1635, z: 189
x: -2895, y: -1644, z: 189
x: -2826, y: -1651, z: 189
x: -2755, y: -1662, z: 189
x: -2680, y: -1680, z: 189
x: -2614, y: -1706, z: 190
x: -2534, y: -1774, z: 190
x: -2500, y: -1842, z: 190
x: -2484, y: -1895, z: 190
x: -2466, y: -1972, z: 190
x: -2444, y: -2049, z: 189
x: -2422, y: -2109, z: 188
x: -2370, y: -2218, z: 188
x: -2321, y: -2296, z: 188
x: -2231, y: -2399, z: 187
x: -2142, y: -2467, z: 187
x: -2003, y: -2534, z: 187
x: -1864, y: -2571, z: 187
x: -1751, y: -2590, z: 187
x: -1673, y: -2598, z: 186
x: -1550, y: -2607, z: 185
x: -1423, y: -2610, z: 185
x: -1369, y: -2610, z: 185
x: -1197, y: -2611, z: 185
x: -1106, y: -2612, z: 185
x: -930, y: -2616, z: 185
x: -810, y: -2620, z: 185
x: -651, y: -2626, z: 184
x: -539, y: -2632, z: 184
x: -309, y: -2646, z: 185
x: -133, y: -2659, z: 186
x: -15, y: -2667, z: 187
x: 153, y: -2672, z: 186
x: 289, y: -2668, z: 187
x: 472, y: -2641, z: 187
x: 596, y: -2595, z: 187
x: 758, y: -2475, z: 188
x: 814, y: -2415, z: 189
x: 886, y: -2323, z: 189
x: 942, y: -2238, z: 189
x: 1013, y: -2112, z: 189
x: 1069, y: -1989, z: 188
x: 1106, y: -1882, z: 188
x: 1141, y: -1745, z: 189
x: 1155, y: -1655, z: 189
x: 1169, y: -1482, z: 189
x: 1170, y: -1374, z: 189
x: 1164, y: -1224, z: 189







Pit Lane

x: 507, y: -2541, z: 187
x: 587, y: -2484, z: 187
x: 640, y: -2432, z: 187
x: 721, y: -2342, z: 187
x: 787, y: -2259, z: 187
x: 831, y: -2195, z: 187
x: 910, y: -2044, z: 187
x: 946, y: -1965, z: 187
x: 982, y: -1863, z: 187
