Track
x: 1014, y: -1687
x: 1016, y: -1577
x: 1004, y: -1427
x: 989, y: -1277
x: 974, y: -1159
x: 958, y: -1045
x: 941, y: -922
x: 924, y: -793
x: 907, y: -673
x: 892, y: -561
x: 876, y: -446
x: 855, y: -287
x: 837, y: -162
x: 820, y: -36
x: 804, y: 77
x: 790, y: 185
x: 775, y: 302
x: 759, y: 424
x: 744, y: 540
x: 726, y: 666
x: 706, y: 799
x: 689, y: 921
x: 660, y: 1122
x: 644, y: 1233
x: 627, y: 1351
x: 612, y: 1455
x: 594, y: 1581
x: 578, y: 1698
x: 563, y: 1805
x: 548, y: 1918
x: 535, y: 2022
x: 524, y: 2135
x: 516, y: 2238
x: 508, y: 2344
x: 497, y: 2459
x: 484, y: 2578
x: 471, y: 2717
x: 458, y: 2854
x: 438, y: 2998
x: 421, y: 3111
x: 398, y: 3253
x: 336, y: 3372
x: 230, y: 3456
x: 112, y: 3494
x: -6, y: 3528
