Track
x: -1347, y: -9648
x: -1236, y: -9583
x: -1083, y: -9494
x: -858, y: -9365
x: -564, y: -9191
x: -399, y: -9085
x: -266, y: -8992
x: -124, y: -8881
x: 23, y: -8751
x: 255, y: -8515
x: 528, y: -8144
x: 637, y: -7957
x: 714, y: -7809
x: 822, y: -7585
x: 910, y: -7387
x: 995, y: -7189
x: 1107, y: -6911
x: 1183, y: -6708
x: 1284, y: -6373
x: 1339, y: -6032
x: 1334, y: -5716
x: 1306, y: -5519
x: 1205, y: -5182
x: 1136, y: -4995
x: 1069, y: -4826
x: 954, y: -4551
x: 881, y: -4384
x: 802, y: -4201
x: 709, y: -3987
x: 637, y: -3819
x: 560, y: -3634
x: 473, y: -3418
x: 398, y: -3215
x: 339, y: -3027
x: 308, y: -2899
x: 226, y: -2525
x: 193, y: -2360
x: 167, y: -2227
x: 140, y: -2081
x: 113, y: -1923
x: 87, y: -1770
x: 69, y: -1655
x: 48, y: -1518
x: 29, y: -1396
x: 13, y: -1280
x: -4, y: -1130
x: -12, y: -976
x: -4, y: -834
x: 17, y: -727
x: 76, y: -621
x: 199, y: -558
x: 316, y: -551
x: 453, y: -517
x: 544, y: -388
x: 545, y: -270
x: 503, y: -130
x: 434, y: 1
x: 335, y: 154
x: 201, y: 350
x: 42, y: 585
x: -38, y: 706
x: -225, y: 990
x: -317, y: 1128
x: -389, y: 1238
x: -463, y: 1350
x: -593, y: 1545
x: -734, y: 1758
x: -814, y: 1879
x: -953, y: 2089
x: -1028, y: 2202
x: -1138, y: 2368
x: -1232, y: 2510
x: -1406, y: 2773
x: -1530, y: 2960
x: -1647, y: 3136
x: -1755, y: 3299
x: -1863, y: 3463
x: -1979, y: 3637
x: -2054, y: 3752
x: -2181, y: 3959
x: -2248, y: 4086
x: -2290, y: 4199
x: -2309, y: 4317
x: -2292, y: 4431
x: -2192, y: 4534
x: -2090, y: 4549
x: -1973, y: 4526
x: -1835, y: 4478
x: -1720, y: 4428
x: -1566, y: 4354

Pit Lane
x: 737, y: -338
x: 742, y: -124
x: 672, y: 17
x: 598, y: 143
x: 526, y: 255
x: 462, y: 356
x: 367, y: 501
x: 278, y: 626
x: 157, y: 754
x: 19, y: 890
x: -103, y: 1019
x: -184, y: 1137
x: -262, y: 1262
x: -333, y: 1374
x: -404, y: 1488
x: -474, y: 1601
x: -552, y: 1724
x: -617, y: 1829
x: -684, y: 1937
x: -785, y: 2099
x: -859, y: 2217
x: -934, y: 2336
x: -997, y: 2438
x: -1080, y: 2570
x: -1169, y: 2713
x: -1339, y: 2986
x: -1427, y: 3126
x: -1506, y: 3253
x: -1614, y: 3424
x: -1705, y: 3566
x: -1794, y: 3709
x: -1876, y: 3847
x: -1941, y: 3992
x: -1954, y: 4104
x: -1904, y: 4223
x: -1785, y: 4281
